Strain,Stress
-0.00383360593611705,-1.00859487397165
-0.00383360593611705,0.189095237765716
-0.00383360593611705,-1.80395747634947
-0.00182593872424479,-3.02419677733887
-0.00182593872424479,-1.44491200884248
0.000181728487627466,-2.59705652238108
0.000181728487627466,-1.804263750642
0.00218939569949973,-4.15770867069761
0.00218939569949973,-4.39254422238718
0.00419706291137199,-6.6977697236985
0.00419706291137199,-5.52933489368052
0.00620473012324401,-6.45244985893523
0.00620473012324401,-5.57344789581168
0.00821239733511627,-7.64624007354603
0.00821239733511627,-8.42811165913547
0.0102200645469885,-10.610403991834
0.0102200645469885,-7.80727343037272
0.0122277317588608,-9.81015160491015
0.0122277317588608,-9.17919315877195
0.0142353989707331,-13.4621159101298
0.0142353989707331,-11.9939238960552
0.0162430661826053,-13.0080997809873
0.0162430661826053,-11.6177585364012
0.0182507333944776,-13.2211327213724
0.0182507333944776,-13.6526522782095
0.0202584006063498,-16.6675601682879
0.0202584006063498,-15.099519851015
0.0222660678182221,-15.9690529145258
0.0222660678182221,-15.3471526708851
0.0242737350300941,-17.2870645609971
0.0242737350300941,-16.8045706083
0.0262814022419664,-19.0654847931885
0.0262814022419664,-17.7131140441383
0.0282890694538386,-19.3750774987473
0.0282890694538386,-19.3336257622673
0.0302967366657109,-20.9765532110238
0.0302967366657109,-19.7788651607677
0.0323044038775832,-21.8511549371687
0.0323044038775832,-21.7752309157348
0.0343120710894554,-23.4407245552411
0.0343120710894554,-22.0714145802846
0.0363197383013277,-23.276962495648
0.0363197383013277,-22.6291092042954
0.0383274055131999,-25.4455707368922
0.0383274055131999,-24.8664624217892
0.0403350727250721,-26.2719437328459
0.0403350727250721,-25.2387128075622
0.0423427399369442,-26.4692550406841
0.0423427399369442,-26.6205334029218
0.0443504071488165,-28.2662799315824
0.0443504071488165,-27.4031168400653
0.0463580743606887,-28.9834870032756
0.0463580743606887,-27.4732049600955
0.048365741572561,-29.4414201762231
0.048365741572561,-29.9650108573229
0.0503734087844333,-31.2602281177679
0.0503734087844333,-29.8599323185483
0.0523810759963055,-31.3575056802385
0.0523810759963055,-30.9393509748686
0.0543887432081778,-33.0878263880567
0.0543887432081778,-32.2392406434394
0.05639641042005,-33.7112432271023
0.05639641042005,-32.0266687643886
0.0584040776319223,-33.3557111704751
0.0584040776319223,-32.4039755224188
0.0604117448437943,-34.6986332526896
0.0604117448437943,-35.4467456958915
0.0624194120556666,-36.3032854108433
0.0624194120556666,-35.5338630263213
0.0644270792675389,-36.375556153216
0.0644270792675389,-34.8328080802401
0.0664347464794111,-36.4409490057833
0.0664347464794111,-36.1307267291562
0.0684424136912834,-38.7973835084779
0.0684424136912834,-37.8151557778244
0.0704500809031556,-38.9067403622297
0.0704500809031556,-37.8668307963552
0.0724577481150279,-39.328518149161
0.0724577481150279,-38.4640469697618
0.0744654153269001,-40.2512285233241
0.0744654153269001,-39.2600238600434
0.0764730825387723,-40.5549993776754
0.0764730825387723,-39.6697064631674
0.0784807497506444,-40.648974747205
0.0784807497506444,-39.9358501439558
0.0804884169625167,-41.2385106588023
0.0804884169625167,-40.4004572714667
0.0824960841743889,-41.6346492941263
0.0824960841743889,-42.1998441458994
0.0845037513862612,-43.2034058297321
0.0845037513862612,-42.4389612935525
0.0865114185981335,-43.1691411475443
0.0865114185981335,-41.8336666210353
0.0885190858100057,-43.231465384581
0.0885190858100057,-41.4593822062757
0.090526753021878,-43.3199180939602
0.090526753021878,-43.4769039603433
0.0925344202337502,-45.1078490468979
0.0925344202337502,-44.5180260925045
0.0945420874456224,-45.145177407034
0.0945420874456224,-44.2072189117692
0.0965497546574945,-45.2649704773397
0.0965497546574945,-44.0157745340927
0.0985574218693668,-45.5133156268754
0.0985574218693668,-44.0970349999428
0.100565089081239,-45.7406147048615
0.100565089081239,-45.0175219611591
0.102572756293111,-46.3958373045936
0.102572756293111,-45.6898048490646
0.104580423504984,-47.1250831163426
0.104580423504984,-46.6901643214148
0.106588090716856,-47.055150129539
0.106588090716856,-46.7142115962696
0.108595757928728,-47.33713889945
0.108595757928728,-46.983330962142
0.1106034251406,-47.601548148758
0.1106034251406,-47.6602694819171
0.112611092352472,-47.7586497948017
0.112611092352472,-48.4758959327702
0.114618759564345,-48.4146552105088
0.114618759564345,-49.000510872916
0.116626426776217,-48.5126041039364
0.116626426776217,-49.7348938762514
0.118634093988089,-48.562056557491
0.118634093988089,-50.1315416299113
0.120641761199961,-49.1851269208878
0.120641761199961,-50.1218236113024
0.122649428411834,-49.310609603316
0.122649428411834,-50.3606347784625
0.124657095623706,-49.3242717116263
0.124657095623706,-50.2950195049602
0.126664762835578,-49.3968904680097
0.126664762835578,-49.8517479984918
0.12867243004745,-48.7216569809952
0.12867243004745,-49.6877603877812
0.130680097259323,-49.2795567672077
0.130680097259323,-48.7333800733784
0.132687764471195,-48.9642245754892
0.132687764471195,-47.9393683015239
0.134695431683067,-48.7015280336088
0.134695431683067,-48.0282424002249
0.136703098894939,-49.3714754948842
0.136703098894939,-48.1291150995292
0.138710766106812,-49.0028787466754
0.138710766106812,-48.0464492204967
0.140718433318684,-48.5866337113875
0.140718433318684,-47.2829035853802
0.142726100530556,-48.2036331794177
0.142726100530556,-47.4829491838983
0.144733767742428,-49.2815892884797
0.144733767742428,-47.4962400621237
0.1467414349543,-48.3817865526757
0.1467414349543,-47.3194107608185
0.148749102166173,-49.0787181592145
0.148749102166173,-47.0485248560187
0.150756769378045,-47.8770752963671
0.150756769378045,-47.228868283722
0.152764436589917,-48.5851109796644
0.152764436589917,-46.460258197597
0.154772103801789,-46.3396754816252
0.154772103801789,-46.3326847496204
0.156779771013662,-48.3302755819373
0.156779771013662,-46.9142339215431
0.158787438225534,-46.2489099599904
0.158787438225534,-46.285318893479
0.160795105437406,-47.6130564923955
0.160795105437406,-45.9322990166136
0.162802772649278,-44.755683766564
0.162802772649278,-46.8520019710608
0.164810439861151,-46.7791466123932
0.164810439861151,-44.1753857787677
0.166818107073023,-46.5808324291091
0.166818107073023,-47.6719017653155
0.168825774284895,-45.298877274772
0.168825774284895,-46.0031350593043
0.170833441496767,-45.9470760862896
0.170833441496767,-43.8389999753098
0.172841108708639,-48.1776726961692
0.172841108708639,-44.7172793879984
0.174848775920512,-44.3636917553001
0.174848775920512,-45.5327815654986
0.176856443132384,-44.8180208479096
0.176856443132384,-44.0954509956747
0.178864110344256,-45.223288018915
0.178864110344256,-43.6751547450403
0.180871777556128,-44.8011284092818
0.180871777556128,-44.4950677394912
0.182879444768001,-43.6660067451212
0.182879444768001,-44.9169264923132
0.184887111979873,-43.1619924310996
0.184887111979873,-45.2027185151268
0.186894779191745,-43.2590022551808
0.186894779191745,-45.1342876236313
0.188902446403617,-42.7888979510788
0.188902446403617,-45.1749247802347
0.19091011361549,-42.8119594462091
0.19091011361549,-45.1176197049325
0.192917780827362,-42.4104649107862
0.192917780827362,-44.752115169732
0.194925448039234,-41.9765216298606
0.194925448039234,-43.7378311233365
0.196933115251106,-42.1339794540492
0.196933115251106,-43.1786393125928
0.198940782462979,-41.7768675474003
0.198940782462979,-42.0099409797188
0.200948449674851,-42.0185717851147
0.200948449674851,-41.118757418279
0.202956116886723,-42.012603537995
0.202956116886723,-40.956842707631
0.204963784098595,-40.572938788405
0.204963784098595,-41.5260247373939
0.206971451310467,-40.9402297041962
0.206971451310467,-39.968428467245
0.20897911852234,-41.9032932038213
0.20897911852234,-40.168362892727
0.210986785734212,-38.881491238887
0.210986785734212,-40.794761357842
0.212994452946084,-40.3675830703744
0.212994452946084,-38.8984582101723
0.215002120157956,-40.5639546853557
0.215002120157956,-40.9685941961503
0.217009787369829,-39.1959113567692
