Strain,Stress
-3.51659562073616e-16,-0.982417011869602
-3.51659562073616e-16,-0.517346142027723
-3.51659562073616e-16,0.505156340163964
0,1.57498078087632
0,1.1935389440733
2.33505685307846e-16,3.35426015078002
2.33505685307846e-16,3.09016484777841
5.82603648233294e-16,6.52081108967932
5.82603648233294e-16,5.98895041158807
-8.14026764059296e-16,8.31315845476271
-8.14026764059296e-16,7.1047936521468
-4.64237045641737e-16,10.5326984027793
-4.64237045641737e-16,10.619347942624
-2.31659790562329e-16,12.1918524755082
-2.31659790562329e-16,12.2184060625146
1.15601433949249e-16,14.1932256073257
1.15601433949249e-16,14.3361846523627
3.46121616214189e-16,18.0395960328636
3.46121616214189e-16,15.8738739882602
6.90883226077831e-16,18.40866035447
6.90883226077831e-16,18.2871408974625
-6.89528553085521e-16,19.9559801306072
-6.89528553085521e-16,21.9717832149601
-3.44089591070074e-16,21.895342419435
-3.44089591070074e-16,21.6922498816197
-1.14472513695839e-16,25.5492746150546
-1.14472513695839e-16,23.0431616441097
2.28498740788574e-16,26.7151342497327
2.28498740788574e-16,25.7122447011285
4.56108381418438e-16,26.4280042401055
4.56108381418438e-16,28.2191667728028
7.96639784632788e-16,31.007402103043
7.96639784632788e-16,29.3302745110162
-5.67925649343695e-16,32.4882919522501
-5.67925649343695e-16,31.2580136888254
-2.26730858848237e-16,32.964006363369
-2.26730858848237e-16,35.2208693392291
0,34.612400314932
0,33.6696063888307
3.38785705273233e-16,37.3548821580192
3.38785705273233e-16,34.998863197051
5.6355699050259e-16,39.6451840806496
5.6355699050259e-16,38.8136683804349
-6.7497036866337e-16,38.4185246299654
-6.7497036866337e-16,38.6985343791408
-4.49118214653405e-16,41.474316626617
-4.49118214653405e-16,41.3207498074182
-1.12064870004339e-16,43.329830482848
-1.12064870004339e-16,41.2062146439938
1.11851005748606e-16,43.9148509184452
1.11851005748606e-16,43.8591558166303
4.46551824855386e-16,45.4340522539729
4.46551824855386e-16,43.7297331137796
6.68554300520183e-16,44.1403019105393
6.68554300520183e-16,45.3901078237311
-6.67285696534375e-16,47.0094141320796
-6.67285696534375e-16,44.7825853659616
-4.44014598577798e-16,46.1323257626312
-4.44014598577798e-16,44.1880234889569
-2.21587625755272e-16,46.6766986673584
-2.21587625755272e-16,46.5011583646782
0,43.6017450686434
0,41.7876975409424
4.41506041523686e-16,44.9447538435401
4.41506041523686e-16,40.8238142394433
6.61014214424091e-16,40.5344013844425
6.61014214424091e-16,38.6847699219566
-6.59774037661568e-16,35.9188575873467
-6.59774037661568e-16,33.1266175951608
-4.3902567050389e-16,37.076487977929
-4.3902567050389e-16,34.9616550158717
0,34.5236978911837
0,34.1733911975819
2.18693757508468e-16,33.988095947572
2.18693757508468e-16,30.6953375808117
4.36573013126774e-16,34.1947109779228
4.36573013126774e-16,38.124225986281
6.53642308687019e-16,37.7766220382149
6.53642308687019e-16,33.2081190042019
-4.34953076157843e-16,37.5696794221582
-4.34953076157843e-16,38.6124447358187
-2.17073803749146e-16,42.0960350908576
-2.17073803749146e-16,41.8290338202152
0,43.1283379735747
0,41.0981240402588
2.16272793403208e-16,39.0996398318647
2.16272793403208e-16,37.4028401472318
6.47623502898004e-16,40.3123804846828
6.47623502898004e-16,41.9215120002225
-6.46433018517676e-16,42.0866458740675
-6.46433018517676e-16,41.3203773486415
-4.30164601924912e-16,45.885557065415
-4.30164601924912e-16,42.8346139781566
-2.1468837733432e-16,43.9634191994546
-2.1468837733432e-16,46.841696556648
2.14295894011954e-16,48.7497602050401
2.14295894011954e-16,46.2057845555471
4.27809686220944e-16,47.7464360471213
4.27809686220944e-16,45.1216173668348
6.40545650407315e-16,46.7403087307234
6.40545650407315e-16,47.0756343476803
-6.39381021952029e-16,46.9556976937121
-6.39381021952029e-16,44.7346615354863
-2.12740206941086e-16,45.6334328857125
-2.12740206941086e-16,44.1394140519753
0,47.6396141798128
0,47.3027153610509
2.11970802937683e-16,46.3666377754305
2.11970802937683e-16,44.9789898060452
4.23176368319634e-16,47.6328134723264
4.23176368319634e-16,47.7291130852062
-6.33620832565073e-16,50.193722895255
-6.33620832565073e-16,48.368426694538
-4.21654151167405e-16,49.3586829089754
-4.21654151167405e-16,49.8419338829623
-2.10448570959674e-16,51.4734140751601
-2.10448570959674e-16,48.7806631751586
0,49.471731047074
0,47.1417786191713
4.19391248746113e-16,48.6738250015612
4.19391248746113e-16,45.887765893073
6.27963503702886e-16,46.8942704701179
6.27963503702886e-16,47.5065339590844
-6.26844139168655e-16,49.8445885073499
-6.26844139168655e-16,49.6664783046024
-6.25728758138106e-16,51.3596109302769
-6.25728758138106e-16,51.2789616811698
0,52.60137696492
0,52.5459078852736
2.07836620610884e-16,56.4773677571422
2.07836620610884e-16,56.1349950850915
2.07468768185024e-16,53.7193732966839
2.07468768185024e-16,50.3636918977973
4.14204431182116e-16,53.2562966728961
4.14204431182116e-16,52.4667105640574
-8.26947823806269e-16,52.6160245268546
-8.26947823806269e-16,55.1577890593665
-2.06372982437568e-16,57.8626570217908
-2.06372982437568e-16,55.0510781683959
-2.06010288268082e-16,56.6999857801761
-2.06010288268082e-16,57.4422715059637
0,54.5745361570009
0,51.2957994557076
2.0528871107625e-16,52.2407971536601
2.0528871107625e-16,45.0741866154223
6.14789444184644e-16,42.6563635564493
6.14789444184644e-16,39.4850914534413
-6.1371651321748e-16,35.293946943064
-6.1371651321748e-16,30.9924451227056
-4.08431547123828e-16,28.7614109267288
-4.08431547123828e-16,25.1490638666052
-2.0386061569485e-16,25.9008929534895
-2.0386061569485e-16,21.8895780892941
2.03506691014824e-16,22.078016479503
2.03506691014824e-16,17.1174459460903
4.06307986220238e-16,11.6781515432861
4.06307986220238e-16,5.05460792046536
6.08407546840166e-16,1.83289940067261
6.08407546840166e-16,-3.17521336904097
-6.07356756603827e-16,-4.03271405264169
-6.07356756603827e-16,-12.4497530095373
-2.02103196594032e-16,-16.7540336586692
-2.02103196594032e-16,-26.5137762940946
0,-33.3821206477887
0,-39.2732431947272
2.0140868389096e-16,-34.3714041630789
2.0140868389096e-16,-30.1201460044751
4.02126428900647e-16,-23.796981355456
4.02126428900647e-16,-20.2043244839802
-6.0215678437263e-16,-14.5971577557353
-6.0215678437263e-16,-11.6539948570921
-4.0075163769073e-16,-6.54936576661794
-4.0075163769073e-16,-2.22133846754967
-2.0003388058795e-16,3.1300715016527
-2.0003388058795e-16,8.66137921251883
0,13.8602061349677
0,16.4582119370253
3.98706986478023e-16,24.0500859395638
3.98706986478023e-16,27.0534100752355
5.97045096899179e-16,34.429618968352
5.97045096899179e-16,39.2239700962862
-5.96033156056976e-16,46.2815923433327
-5.96033156056976e-16,50.4976414241098
-3.96683093145647e-16,50.2767809786051
-3.96683093145647e-16,47.1274723696071
0,51.0305372646567
0,45.639949786266
1.9767260375133e-16,42.4223412630914
1.9767260375133e-16,40.644931286612
3.94679643180265e-16,38.074179827738
3.94679643180265e-16,36.459156973206
5.91024474073304e-16,36.2709031451912
5.91024474073304e-16,33.5525751642254
-3.93355214847445e-16,33.0575620995306
-3.93355214847445e-16,29.1124201245469
-1.96348164195207e-16,26.8022993175685
-1.96348164195207e-16,20.5368330992568
0,18.7699691624632
0,16.5892638658593
1.95692577670348e-16,13.4653083932277
1.95692577670348e-16,12.6238718691
5.86099270122694e-16,12.4059372039922
5.86099270122694e-16,7.75456086189495
-5.85124063350442e-16,8.32521756055399
-5.85124063350442e-16,2.94455746178022
-3.89434730978534e-16,-0.0165087512455939
-3.89434730978534e-16,-8.33106143290023
-1.94394451118638e-16,-12.4957160738362
-1.94394451118638e-16,-18.2231778805161
1.94072606000892e-16,-21.284759973347
1.94072606000892e-16,-19.5681633887265
3.87503649667896e-16,-16.0029239416354
3.87503649667896e-16,-16.9503226437986
5.80296307052172e-16,-13.2177566988484
5.80296307052172e-16,-8.54825220724934
-5.79340299956533e-16,-3.80093821883814
-5.79340299956533e-16,-0.0847385304149919
-1.9279581254036e-16,3.37343483840802
-1.9279581254036e-16,5.32310011723818
0,11.1724944837169
0,13.286726231722
1.92163695122195e-16,16.2646835345578
1.92163695122195e-16,17.5213227868622
3.83698376512402e-16,19.6574762128265
3.83698376512402e-16,21.5432403998196
-7.6614283676169e-16,26.354798428977
-7.6614283676169e-16,30.6895382397015
-3.82446505789685e-16,39.2630650744799
-3.82446505789685e-16,40.8163318200397
-1.90911814372213e-16,42.7140424255331
-1.90911814372213e-16,41.4935925168861
0,38.8538600879717
0,34.3204939998559
1.90291970819056e-16,31.2691096299067
1.90291970819056e-16,28.9900190861903
5.69950667866477e-16,29.4576822549325
5.69950667866477e-16,26.6832636790941
-5.69028417594847e-16,27.1568760209658
-5.69028417594847e-16,27.1239263132384
-5.68109147130235e-16,27.8873007535675
