LAMMPS data file via write_data, version 2 Aug 2023, timestep = 50, units = metal

14620 atoms
4 atom types

0 50 xlo xhi
0 50 ylo yhi
0 150 zlo zhi

Masses

1 63.55
2 63.55
3 63.55
4 12.01

Atoms # atomic

1 1 0 0 0 0 0 0
2 1 1.8075 1.8075 0 0 0 0
3 1 1.8075 0 1.8075 0 0 0
4 1 0 1.8075 1.8075 0 0 0
5 1 3.615 0 0 0 0 0
6 1 5.4225 1.8075 0 0 0 0
7 1 5.4225 0 1.8075 0 0 0
8 1 3.615 1.8075 1.8075 0 0 0
29 1 0 3.615 0 0 0 0
30 1 1.8075 5.4225 0 0 0 0
31 1 1.8075 3.615 1.8075 0 0 0
32 1 0 5.4225 1.8075 0 0 0
33 1 3.615 3.615 0 0 0 0
34 1 5.4225 5.4225 0 0 0 0
35 1 5.4225 3.615 1.8075 0 0 0
36 1 3.615 5.4225 1.8075 0 0 0
197 1 0 0 3.615 0 0 0
198 1 1.8075 1.8075 3.615 0 0 0
199 2 1.9167506186771206 0.3837941063091957 5.426016092540793 0 0 0
200 2 0.35156103471366645 1.9365471164457095 5.440655721803558 0 0 0
201 1 3.615 0 3.615 0 0 0
202 1 5.4225 1.8075 3.615 0 0 0
203 2 5.4450851851475655 0.3355935720517805 5.442707422704554 0 0 0
204 2 3.6201379438490253 1.8409414006181957 5.390228514076831 0 0 0
225 1 0 3.615 3.615 0 0 0
226 1 1.8075 5.4225 3.615 0 0 0
227 2 1.8185444781009463 3.6749538495133445 5.472367419730783 0 0 0
228 2 0.3589385819415239 5.4944366701095975 5.478055239082894 0 0 0
229 1 3.615 3.615 3.615 0 0 0
230 1 5.4225 5.4225 3.615 0 0 0
231 2 5.476871150946733 3.6494334197442506 5.350787966326146 0 0 0
232 2 3.562799134163808 5.381225793737411 5.375030089434867 0 0 0
9 1 7.23 0 0 0 0 0
10 1 9.037500000000001 1.8075 0 0 0 0
11 1 9.037500000000001 0 1.8075 0 0 0
12 1 7.23 1.8075 1.8075 0 0 0
13 1 10.845 0 0 0 0 0
16 1 10.845 1.8075 1.8075 0 0 0
37 1 7.23 3.615 0 0 0 0
38 1 9.037500000000001 5.4225 0 0 0 0
